21346049_length_609_cvg_127.3_tip_0,mitochondrion,no,yes
21129528_length_410_cvg_137.4_tip_0,mitochondrion,no,yes
20992388_length_336_cvg_122.0_tip_0,mitochondrion,no,yes
21531846_length_889_cvg_141.2_tip_0,mitochondrion,no,yes
21572096_length_965_cvg_131.1_tip_0,mitochondrion,no,yes
21386911_length_660_cvg_131.7_tip_0,mitochondrion,no,yes
21664533_length_1163_cvg_128.9_tip_0,mitochondrion,no,yes
21714081_length_1285_cvg_127.6_tip_0,mitochondrion,no,yes
21793199_length_1501_cvg_128.1_tip_0,mitochondrion,no,yes
21883177_length_1790_cvg_128.8_tip_0,mitochondrion,no,yes
22014751_length_2308_cvg_127.3_tip_0,mitochondrion,no,yes
22359010_length_4646_cvg_128.6_tip_0,mitochondrion,no,yes
20619986_length_236_cvg_128.4_tip_0,mitochondrion,no,yes
